system,label,n_positives,Hit@1,R@1,Hit@3,R@3,Hit@5,R@5,Hit@10,R@10,Hit@20,R@20,Hit@50,R@50,Hit@100,R@100,variant
Bi-encoder,Monitoring,32,0,0.0,0,0.0,0,0.0,1,0.0312,1,0.0312,1,0.0938,1,0.125,def_only
Bi-encoder,Multi-level management,18,0,0.0,0,0.0,0,0.0,1,0.0556,1,0.0556,1,0.2778,1,0.3889,def_only
Bi-encoder,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
Bi-encoder,Research,23,0,0.0,1,0.0435,1,0.0435,1,0.0435,1,0.0435,1,0.087,1,0.1739,def_only
Bi-encoder,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,def_only
Bi-encoder,Restoration,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.4,1,0.8,def_only
Bi-encoder,Soil subsidence,2,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,def_only
Bi-encoder,Stakeholder collaboration,39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0256,1,0.1538,def_only
Bi-encoder,Water management,40,0,0.0,0,0.0,0,0.0,1,0.025,1,0.05,1,0.15,1,0.275,def_only
BM25,Adaptation,14,0,0.0,0,0.0,1,0.0714,1,0.0714,1,0.2143,1,0.3571,1,0.4286,name_plus_def
BM25,Assessment,22,0,0.0,1,0.0455,1,0.0455,1,0.0455,1,0.0455,1,0.0455,1,0.1818,name_plus_def
BM25,Climate change,42,1,0.0238,1,0.0714,1,0.119,1,0.1667,1,0.2857,1,0.5,1,0.619,name_plus_def
BM25,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,name_plus_def
BM25,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0755,1,0.1321,name_plus_def
BM25,Fisheries management,7,1,0.1429,1,0.2857,1,0.4286,1,0.8571,1,0.8571,1,1.0,1,1.0,name_plus_def
BM25,Framework,44,0,0.0,0,0.0,1,0.0227,1,0.0455,1,0.0682,1,0.1364,1,0.1818,name_plus_def
